"filename", "language", "Shell Script", "Python", "pip requirements", "Log", "comment", "blank", "total"
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\bitquery.py", "Python", 0, 34, 0, 0, 15, 8, 57
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\client.py", "Python", 0, 117, 0, 0, 55, 18, 190
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\dexscreener.py", "Python", 0, 77, 0, 0, 42, 25, 144
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\github_analyzer.py", "Python", 0, 347, 0, 0, 113, 93, 553
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\kalshi.py", "Python", 0, 40, 0, 0, 26, 14, 80
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\mobula.py", "Python", 0, 60, 0, 0, 32, 17, 109
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\moralis.py", "Python", 0, 30, 0, 0, 22, 15, 67
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\provider.py", "Python", 0, 51, 0, 0, 10, 10, 71
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\trenchbot.py", "Python", 0, 21, 0, 0, 15, 7, 43
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\truthsocial.py", "Python", 0, 276, 0, 0, 73, 79, 428
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\website_analyzer.py", "Python", 0, 1233, 0, 0, 231, 296, 1760
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\crypto_bot.py", "Python", 0, 388, 0, 0, 123, 91, 602
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\error_handler.py", "Python", 0, 49, 0, 0, 21, 8, 78
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\events.py", "Python", 0, 169, 0, 0, 88, 47, 304
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\about_to_graduate_tracker_commandsr.py", "Python", 0, 224, 0, 0, 30, 65, 319
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\ban_commands.py", "Python", 0, 108, 0, 0, 9, 17, 134
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\bundle_checker_commands.py", "Python", 0, 37, 0, 0, 18, 12, 67
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\calculator_commands.py", "Python", 0, 218, 0, 0, 22, 40, 280
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\dex_tracker_commands.py", "Python", 0, 227, 0, 0, 30, 62, 319
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\explain_commands.py", "Python", 0, 399, 0, 0, 20, 88, 507
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\flex_commands.py", "Python", 0, 82, 0, 0, 24, 19, 125
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\github_checker_commands.py", "Python", 0, 70, 0, 0, 20, 18, 108
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\health_commands.py", "Python", 0, 40, 0, 0, 7, 12, 59
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\kalshi_commands.py", "Python", 0, 94, 0, 0, 18, 21, 133
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\migration_tracker_commands.py", "Python", 0, 222, 0, 0, 28, 63, 313
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\nword_tracking_commands.py", "Python", 0, 187, 0, 0, 15, 33, 235
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\say_commands.py", "Python", 0, 28, 0, 0, 9, 12, 49
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\settings_commands.py", "Python", 0, 284, 0, 0, 27, 42, 353
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\truth_commands_commands.py", "Python", 0, 478, 0, 0, 89, 116, 683
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\wallet_finder_commands.py", "Python", 0, 72, 0, 0, 10, 12, 94
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\commands\website_analysis_commands.py", "Python", 0, 70, 0, 0, 20, 18, 108
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\config.py", "Python", 0, 140, 0, 0, 71, 45, 256
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250222.log", "Log", 0, 0, 0, 2, 0, 1, 3
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250310.log", "Log", 0, 0, 0, 2, 0, 1, 3
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250311.log", "Log", 0, 0, 0, 16, 0, 1, 17
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250312.log", "Log", 0, 0, 0, 24, 0, 1, 25
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250313.log", "Log", 0, 0, 0, 34, 0, 1, 35
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250314.log", "Log", 0, 0, 0, 36, 0, 1, 37
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250315.log", "Log", 0, 0, 0, 26, 0, 1, 27
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250316.log", "Log", 0, 0, 0, 62, 0, 1, 63
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250317.log", "Log", 0, 0, 0, 34, 0, 1, 35
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250318.log", "Log", 0, 0, 0, 69, 0, 1, 70
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250319.log", "Log", 0, 0, 0, 59, 0, 1, 60
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250320.log", "Log", 0, 0, 0, 1, 0, 1, 2
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250321.log", "Log", 0, 0, 0, 35, 0, 1, 36
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250322.log", "Log", 0, 0, 0, 13, 0, 1, 14
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250323.log", "Log", 0, 0, 0, 69, 0, 1, 70
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250324.log", "Log", 0, 0, 0, 143, 0, 1, 144
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250325.log", "Log", 0, 0, 0, 37, 0, 1, 38
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250326.log", "Log", 0, 0, 0, 23, 0, 1, 24
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250327.log", "Log", 0, 0, 0, 20, 0, 1, 21
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250329.log", "Log", 0, 0, 0, 29, 0, 1, 30
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250330.log", "Log", 0, 0, 0, 113, 0, 1, 114
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250331.log", "Log", 0, 0, 0, 20, 0, 1, 21
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250401.log", "Log", 0, 0, 0, 29, 0, 1, 30
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250402.log", "Log", 0, 0, 0, 77, 0, 1, 78
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250403.log", "Log", 0, 0, 0, 94, 0, 1, 95
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250404.log", "Log", 0, 0, 0, 4, 0, 1, 5
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250405.log", "Log", 0, 0, 0, 721, 0, 907, 1628
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250406.log", "Log", 0, 0, 0, 25, 0, 1, 26
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250407.log", "Log", 0, 0, 0, 42, 0, 1, 43
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250409.log", "Log", 0, 0, 0, 13, 0, 1, 14
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250410.log", "Log", 0, 0, 0, 100, 0, 1, 101
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250411.log", "Log", 0, 0, 0, 36, 0, 1, 37
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250412.log", "Log", 0, 0, 0, 791, 0, 8, 799
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250413.log", "Log", 0, 0, 0, 313, 0, 1, 314
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250414.log", "Log", 0, 0, 0, 295, 0, 1, 296
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250415.log", "Log", 0, 0, 0, 249, 0, 1, 250
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250416.log", "Log", 0, 0, 0, 289, 0, 1, 290
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250418.log", "Log", 0, 0, 0, 335, 0, 1, 336
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250419.log", "Log", 0, 0, 0, 143, 0, 1, 144
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250420.log", "Log", 0, 0, 0, 246, 0, 1, 247
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250421.log", "Log", 0, 0, 0, 219, 0, 1, 220
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250423.log", "Log", 0, 0, 0, 302, 0, 1, 303
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250425.log", "Log", 0, 0, 0, 557, 0, 9, 566
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250426.log", "Log", 0, 0, 0, 368, 0, 1, 369
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250427.log", "Log", 0, 0, 0, 4015, 0, 3, 4018
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250428.log", "Log", 0, 0, 0, 401, 0, 1, 402
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250429.log", "Log", 0, 0, 0, 467, 0, 1, 468
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250430.log", "Log", 0, 0, 0, 10343, 0, 1, 10344
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250501.log", "Log", 0, 0, 0, 21405, 0, 1, 21406
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250503.log", "Log", 0, 0, 0, 9662, 0, 1, 9663
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250504.log", "Log", 0, 0, 0, 23153, 0, 1, 23154
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250506.log", "Log", 0, 0, 0, 11464, 0, 1, 11465
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250507.log", "Log", 0, 0, 0, 27574, 0, 1, 27575
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250508.log", "Log", 0, 0, 0, 667, 0, 1, 668
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250509.log", "Log", 0, 0, 0, 175, 0, 1, 176
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250510.log", "Log", 0, 0, 0, 590, 0, 3, 593
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250511.log", "Log", 0, 0, 0, 173, 0, 1, 174
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250512.log", "Log", 0, 0, 0, 4438, 0, 1, 4439
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250513.log", "Log", 0, 0, 0, 616, 0, 1, 617
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250529.log", "Log", 0, 0, 0, 335, 0, 1, 336
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250530.log", "Log", 0, 0, 0, 61, 0, 1, 62
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250604.log", "Log", 0, 0, 0, 513, 0, 1, 514
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250605.log", "Log", 0, 0, 0, 405, 0, 1, 406
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250606.log", "Log", 0, 0, 0, 1058, 0, 1, 1059
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250607.log", "Log", 0, 0, 0, 2128, 0, 1, 2129
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250608.log", "Log", 0, 0, 0, 1416, 0, 1, 1417
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250610.log", "Log", 0, 0, 0, 98, 0, 1, 99
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250611.log", "Log", 0, 0, 0, 55, 0, 1, 56
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250613.log", "Log", 0, 0, 0, 73, 0, 1, 74
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250616.log", "Log", 0, 0, 0, 214, 0, 1, 215
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250618.log", "Log", 0, 0, 0, 199, 0, 1, 200
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250619.log", "Log", 0, 0, 0, 111, 0, 1, 112
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250621.log", "Log", 0, 0, 0, 179, 0, 1, 180
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250622.log", "Log", 0, 0, 0, 58, 0, 1, 59
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250624.log", "Log", 0, 0, 0, 67, 0, 1, 68
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250706.log", "Log", 0, 0, 0, 2069, 0, 1, 2070
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250709.log", "Log", 0, 0, 0, 45, 0, 1, 46
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250710.log", "Log", 0, 0, 0, 526, 0, 1, 527
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250731.log", "Log", 0, 0, 0, 94, 0, 1, 95
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250801.log", "Log", 0, 0, 0, 157, 0, 1, 158
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250927.log", "Log", 0, 0, 0, 50, 0, 1, 51
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20250928.log", "Log", 0, 0, 0, 274, 0, 1, 275
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20251002.log", "Log", 0, 0, 0, 180, 0, 1, 181
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20251120.log", "Log", 0, 0, 0, 226, 0, 1, 227
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20251121.log", "Log", 0, 0, 0, 119, 0, 1, 120
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20251130.log", "Log", 0, 0, 0, 37, 0, 1, 38
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\logs\bot_20251201.log", "Log", 0, 0, 0, 241, 0, 1, 242
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\main.py", "Python", 0, 30, 0, 0, 6, 3, 39
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\about_to_graduate_repo.py", "Python", 0, 134, 0, 0, 54, 25, 213
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\auto_messaging_settings_repo.py", "Python", 0, 188, 0, 0, 39, 40, 267
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\dex_tracker_repo.py", "Python", 0, 149, 0, 0, 93, 26, 268
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\github_analyzer_repo.py", "Python", 0, 61, 0, 0, 19, 14, 94
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\migration_tracker_repo.py", "Python", 0, 122, 0, 0, 54, 25, 201
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\nword_tracking_repo.py", "Python", 0, 114, 0, 0, 57, 19, 190
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\repository\truth_repo.py", "Python", 0, 343, 0, 0, 120, 74, 537
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\requirements.txt", "pip requirements", 0, 0, 38, 0, 0, 0, 38
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\about_to_graduate_tracker_service.py", "Python", 0, 202, 0, 0, 33, 60, 295
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\address_service.py", "Python", 0, 147, 0, 0, 71, 39, 257
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\auto_message_settings_service.py", "Python", 0, 81, 0, 0, 17, 17, 115
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\dex_tracker_service.py", "Python", 0, 191, 0, 0, 39, 66, 296
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\flex_service.py", "Python", 0, 244, 0, 0, 27, 36, 307
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\forwarding_service.py", "Python", 0, 314, 0, 0, 33, 82, 429
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\message_service.py", "Python", 0, 31, 0, 0, 13, 12, 56
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\migration_tracker_service.py", "Python", 0, 446, 0, 0, 64, 111, 621
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\mysql_service.py", "Python", 0, 248, 0, 0, 98, 38, 384
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\nword_tracking_service.py", "Python", 0, 22, 0, 0, 24, 6, 52
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\proxy_service.py", "Python", 0, 74, 0, 0, 25, 21, 120
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\say_service.py", "Python", 0, 227, 0, 0, 13, 33, 273
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\truth_tracker_service.py", "Python", 0, 269, 0, 0, 61, 90, 420
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\username_ban_service.py", "Python", 0, 139, 0, 0, 45, 41, 225
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\service\wallet_finder_service.py", "Python", 0, 183, 0, 0, 35, 29, 247
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\start.sh", "Shell Script", 8, 0, 0, 0, 3, 2, 13
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\ui\embeds.py", "Python", 0, 1731, 0, 0, 393, 417, 2541
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\ui\formatters.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\ui\modals.py", "Python", 0, 541, 0, 0, 52, 90, 683
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\ui\views.py", "Python", 0, 860, 0, 0, 85, 170, 1115
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\analytics_utils.py", "Python", 0, 208, 0, 0, 96, 47, 351
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\formatters.py", "Python", 0, 160, 0, 0, 107, 52, 319
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\helper.py", "Python", 0, 370, 0, 0, 145, 85, 600
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\logger.py", "Python", 0, 51, 0, 0, 26, 17, 94
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\utils\validators.py", "Python", 0, 253, 0, 0, 97, 65, 415
"Total", "-", 8, 14005, 38, 132246, 3377, 4295, 153969